Rank,Surname,Incidence,Frequency
1,da Silva,"12,585,868",01:17
2,dos Santos,"7,427,753",01:29
3,Pereira,"5,594,058",01:38
4,Alves,"4,872,987",01:44
5,Ferreira,"4,848,931",01:44
6,Rodrigues,"4,197,229",01:51
7,Silva,"4,080,029",01:52
8,de Oliveira,"3,972,807",01:54
9,de Souza,"3,598,845",01:59
10,Gomes,"2,911,536",02:14
11,Santos,"2,902,750",02:14
12,Oliveira,"2,302,086",02:33
13,Ribeiro,"2,108,131",02:42
14,de Jesus,"1,963,741",02:49
15,Soares,"1,786,065",03:00
16,Martins,"1,739,143",03:03
17,Barbosa,"1,711,235",03:05
18,Vieira,"1,566,819",03:17
19,Souza,"1,548,475",03:18
20,Lopes,"1,536,740",03:19
21,Lima,"1,511,714",03:22
22,Batista,"1,457,078",03:27
23,Fernandes,"1,431,583",03:30
24,Costa,"1,395,868",03:33
25,de Sousa,"1,303,835",03:44
26,Dias,"1,281,719",03:47
27,da Conceiçao,"1,228,358",03:54
28,de Lima,"1,208,390",03:57
29,do Nascimento,"1,102,256",04:14
30,Moreira,"1,086,513",04:17
31,Nunes,"1,061,865",04:22
32,da Costa,"1,031,067",04:28
33,Araujo,"975,453",04:39
34,Marques,"926,646",04:51
35,Cardoso,"921,343",04:52
36,de Almeida,"901,694",04:57
37,Mendes,"885,997",05:02
38,Nascimento,"852,367",05:11
39,Teixeira,"831,731",05:17
40,Ramos,"827,932",05:19
41,Carvalho,"799,060",05:28
42,Rosa,"781,223",05:34
43,Almeida,"760,825",05:41
44,Sousa,"739,713",05:49
45,Machado,"737,478",05:50
46,Rocha,"722,121",05:56
47,Santana,"698,062",06:07
48,de Araujo,"685,654",06:12
49,Borges,"629,476",06:40
50,Bezerra,"610,735",06:51
51,Henrique,"608,350",06:52
52,Pinheiro,"549,257",07:30
53,de Carvalho,"543,544",07:34
54,Monteiro,"541,957",07:35
55,Correa,"513,996",07:56
56,Aparecido,"507,978",08:01
57,Andrade,"503,830",08:05
58,Pinto,"497,956",08:10
59,da Cruz,"464,687",08:41
60,de Paula,"456,440",08:49
61,de Freitas,"451,062",08:55
62,Nogueira,"428,781",09:19
63,Leite,"423,833",09:25
64,Tavares,"423,326",09:26
65,Miranda,"415,415",09:35
66,Pires,"403,979",09:50
67,Garcia,"402,190",09:52
68,dos Reis,"400,939",09:54
69,Xavier,"398,565",09:57
70,do Carmo,"397,359",09:59
71,Duarte,"393,746",10:04
72,de Andrade,"392,362",10:06
73,Freitas,"388,605",10:11
74,Correia,"387,984",10:12
75,de Fatima,"379,332",10:24
76,Barros,"376,207",10:29
77,Coelho,"373,259",10:34
78,Gonçalves,"365,175",10:46
79,de Melo,"364,280",10:48
80,Reis,"363,032",10:50
81,Viana,"359,146",10:56
82,Campos,"353,285",11:06
83,Moraes,"341,425",11:27
84,Felix,"335,460",11:38
85,Brito,"330,188",11:48
86,Cordeiro,"323,683",12:01
87,Neves,"317,356",12:15
88,Moura,"315,693",12:18
89,Guimaraes,"312,941",12:24
90,Farias,"309,849",12:31
91,da Rocha,"307,922",12:35
92,de Castro,"302,272",12:48
93,Carneiro,"282,163",13:39
94,Silveira,"281,723",13:40
95,Candido,"280,772",13:42
96,Melo,"280,017",13:45
97,Medeiros,"275,632",13:57
98,de Assis,"275,255",13:58
99,Bispo,"273,260",14:03
100,de Lourdes,"263,695",14:32
101,Cruz,"257,252",14:52
102,Dantas,"255,067",14:59
103,Maciel,"254,685",15:01
104,Morais,"250,547",15:14
105,Braga,"249,734",15:17
106,Cavalcante,"249,530",15:18
107,Antunes,"246,306",15:29
108,Siqueira,"246,256",15:29
109,de Moura,"240,657",15:50
110,Domingos,"233,236",16:18
111,Macedo,"231,352",16:25
112,de Santana,"231,183",16:26
113,Fonseca,"230,440",16:29
114,Caetano,"223,141",16:59
115,Castro,"222,326",17:03
116,Menezes,"217,325",17:25
117,da Cunha,"214,741",17:37
118,de Moraes,"214,170","1:1,000"
119,dos Anjos,"213,701","1:1,002"
120,Inacio,"213,577","1:1,002"
121,Matos,"211,519","1:1,012"
122,Sales,"210,991","1:1,015"
123,Cunha,"206,386","1:1,037"
124,Chaves,"201,883","1:1,060"
125,de Brito,"200,809","1:1,066"
126,Barreto,"196,408","1:1,090"
127,Queiroz,"196,382","1:1,090"
128,Magalhaes,"196,330","1:1,090"
129,Azevedo,"195,243","1:1,096"
130,Mota,"194,724","1:1,099"
131,Evangelista,"193,368","1:1,107"
132,Bento,"192,202","1:1,114"
